Category,Product Name,MRP,Sale Price
MONITOR,MSI MAG 275F E20 | 27 Inch 1080p FHD 200Hz Rapid IPS Monitor,N/A,₹10990
MONITOR,Acer VG270 X1 | 27 Inch 1080p FHD 200Hz IPS 0.5ms Monitor,N/A,₹11490
MONITOR,ViewSonic VA2708-2K-MHD | 27 Inch 1440p QHD (2K) 100Hz IPS 1ms Monitor,N/A,₹12490
MONITOR,ViewSonic VX2779A-HD-PRO | 27 Inch 1080p FHD 240Hz IPS Monitor,N/A,₹12990
MONITOR,MSI PRO MP275Q | 27 Inch 1440p QHD (2K) 100Hz IPS Monitor,N/A,₹13190
MONITOR,Lenovo Legion 27-10 | 27 Inch 1080p FHD 240Hz IPS 0.5ms Monitor,N/A,₹13290
MONITOR,ViewSonic XG2709A | 27 Inch 1080p FHD 240Hz IPS with Adjustable Stand G-Sync Monitor,N/A,₹13690
MONITOR,MSI Modern MD272XP | 27 Inch 1080p FHD 100Hz IPS Adjustable Stand Monitor,N/A,₹13790
MONITOR,MSI MAG 255XF | 25 Inch 1080p FHD 300Hz Rapid IPS 0.5ms Monitor,N/A,₹14790
MONITOR,MSI G27C4X | 27 Inch Curved 1080p FHD 250Hz 1ms Monitor,N/A,₹14990
MONITOR,MSI MAG 255PXF | 25 Inch 1080p FHD 300Hz Rapid IPS 0.5ms with Adjustable Stand,N/A,₹15390
MONITOR,MSI MAG 275QF | 27 Inch 1440p QHD (2K) 180Hz Rapid IPS 0.5ms Monitor,N/A,₹15490
MONITOR,MSI MAG 27CQ6F | 27 Inch Curved 1440p QHD (2K) 180Hz 0.5ms,N/A,₹15990
MONITOR,ViewSonic VX2758A-2K-PRO-2 | 27 Inch 1440p (2K) 185Hz IPS Height Adjustable Monitor,N/A,₹16690
MONITOR,MSI MAG 276CXF | 27 Inch 1080p FHD 280Hz 0.5ms,N/A,₹17190
MONITOR,Lenovo Legion R27FC-30 | 27 Inch Curved 1080p 280Hz 0.5ms,N/A,₹17990
MONITOR,MSI PRO MP273U | 27 Inch 2160p (4K) 60Hz IPS Monitor,N/A,₹18290
MONITOR,ViewSonic VX2758A-2K-PRO-3 | 27 Inch 1440p QHD (2K) 240Hz IPS 1ms Monitor,N/A,₹18990
MONITOR,LG UltraGear 32GS60QC-B | 32 Inch 1000R Curved 1440p QHD (2K) 180Hz 1ms,N/A,₹19490
MONITOR,Lenovo Legion 27Q-10 | 27 Inch 1440p (2K) 240Hz IPS 0.5ms Monitor,N/A,₹19790
MONITOR,MSI MAG 27CQ6PF | 27 Inch 1500R Curved WQHD (2K) 180Hz 0.5ms with Adjustable Stand Monitor,N/A,₹19990
MONITOR,MSI G274QPF E2 | 27 Inch 1440p (2K) 180Hz Rapid IPS Monitor,N/A,₹20390
MONITOR,Lenovo Legion 27Q-11 | 27 Inch 1440p (2K) 300Hz IPS 0.5ms with Adjustable Stand G-Sync Monitor,N/A,₹21490
MONITOR,MSI MAG 32CQ6F | 32 Inch 1500R Curved 1440p WQHD (2K) 180Hz 0.5ms Monitor,N/A,₹21990
MONITOR,MSI Modern MD271UL | 27 Inch 2160p UHD (4K) 60Hz IPS,N/A,₹23490
MONITOR,MSI MAG 342CQRF E20 | 34 Inch 1500R Curved 1440p QHD (2K) 200Hz 0.5ms Monitor,N/A,₹27190
MONITOR,MSI Modern MD272UPHG | 27 Inch 2160p UHD (4K) 60Hz IPS Adjustable Stand Monitor,N/A,₹27290
MONITOR,MSI MAG 275UPD E14 | 27 Inch 2160p UHD (4K) 144Hz IPS with Adjustable Stand Monitor,N/A,₹34990
MONITOR,MSI MAG 274UPF E2 | 27 Inch 2160p (4K) 160Hz Rapid IPS 0.5ms Monitor,N/A,₹36490
MONITOR,Lenovo Legion 27Q-10 OLED | 27 Inch 1440p QHD (2K) 240Hz OLED 0.03ms Monitor,N/A,₹39490
MONITOR,Lenovo Legion Pro 27UD-10 OLED | 27 Inch 2160p UHD (4K) 240Hz OLED 0.03ms Monitor,N/A,₹70990
MONITOR,MSI MAG 321UP QD-OLED | 32 Inch 2160p UHD (4K) 165Hz OLED 0.03ms Monitor,N/A,₹73490
MONITOR,MSI MAG 341CQP QD-OLED | 34 Inch Curved 1440p UWQHD (2K) 175Hz OLED 0.03ms,N/A,₹74990
MONITOR,MSI MPG 341CQPX QD-OLED | 34 Inch Curved 1440p UWQHD (2K) 240Hz OLED 0.03ms,N/A,₹85990
MONITOR,Gigabyte AORUS CO49DQ OLED | 49 Inch 1800R Curved 1440p D-QHD (2K) 144Hz OLED 0.03ms Monitor,N/A,₹93490
MONITOR,Selecting Your Gaming Monitor,N/A,₹12990
KEYBOARD,TAG Gamerz Commander 2.0 RGB Gaming Keyboard and Mouse Combo (White),N/A,₹990
KEYBOARD,Cosmic Byte DragonFly Gaming Keyboard and Mouse Combo,N/A,₹1390
KEYBOARD,Cosmic Byte Pandora TKL (CB-GK-26) Red Switches Mechanical Keyboard,N/A,₹1590
KEYBOARD,Cosmic Byte Pandora TKL (CB-GK-25) Blue Switches Mechanical Keyboard,N/A,₹1590
KEYBOARD,Ant Esports MK1850 Hot-Swap Mechanical Wired Gaming Keyboard (Red Switches) (Black),N/A,₹1750
KEYBOARD,Cosmic Byte Firefly TKL Per Key RGB (CB-GK-16) Blue Switches Mechanical Keyboard,N/A,₹2170
KEYBOARD,Cosmic Byte Firefly TKL Per Key RGB (CB-GK-18) Red Switches Mechanical Keyboard,N/A,₹2170
KEYBOARD,Ant Esports MK4400 Pro Tri-Mode Wireless Mechanical RGB Gaming Keyboard (Red Switches) (Black),N/A,₹2250
KEYBOARD,Cosmic Byte Firefly TKL Per Key RGB (CB-GK-37) (White) Red Switches Mechanical Keyboard,N/A,₹2350
KEYBOARD,Ant Esports MK4100 RGB Mechanical Wired Gaming Keyboard with Hot-Swappable Per-Key RGB (Red Outemu Switches) (White),N/A,₹2490
KEYBOARD,Cosmic Byte Artemis (CB-GK-40) Wired + Wireless + Bluetooth 68 Key Per Key RGB Swappable Blue Switches Mechanical Keyboard,N/A,₹2890
KEYBOARD,Cosmic Byte (CB-GK-38) Trinity Optical Swappable Blue Switches Keyboard (Wired),N/A,₹2970
KEYBOARD,Cosmic Byte Phantom TKL Gasket (CB-GK-43) Mechanical Wired Swappable Keyboard with PreLubed Switches,N/A,₹3090
KEYBOARD,Cosmic Byte Phantom TKL Gasket (CB-GK-42) Mechanical Wired Swappable Keyboard with PreLubed Switches (White),N/A,₹3090
KEYBOARD,Cosmic Byte Trinity (CB-GK-39) Optical Swappable Blue Switches Mechanical Keyboard (Wireless) Keyboard,N/A,₹3890
KEYBOARD,Logitech G915 X Wired Low-Profile Mechanical Gaming Keyboard (GL Switches) (Black),N/A,₹13990
KEYBOARD,FAQs on Keyboard,N/A,₹7000
